column_order,varname,varTitle,longDescription,panelDataType,dictionaryDataType
0,YEAR,IPEDS reporting year,IPEDS reporting year carried by the stitched institution-year panel.,int32,
1,UNITID,Institution identifier (panel key),IPEDS institution identifier used as the panel key. This row is metadata-only.,int64,integer
2,ACT,Status of institution,A code to indicate the status of institution's participation in IPEDS._x000D_,string,A
3,ACTCM25,ACT Composite 25th percentile score,"If test scores are required for admission and 60 percent or more of your enrolled students (first-time, degree/certificate-seeking undergraduate students) submitted scores for a given test, please provide the following information: the number and percentage of students submitting SAT/ACT scores and the 25th and 75th percentile scores for each test. Provide data for the most recent group of students for which data are available; include new students admitted the summer prior to that fall. 
(This is applicable to institutions that have no open admission policy for entering first-time undergraduate students ). 

ACT Composite 25th percentile score 

ACT (AMERICAN COLLEGE TESTING PROGRAM) - The ACT assessment program measures educational development and readiness to pursue college-level coursework in English, mathematics, natural science, and social studies. Student performance does not reflect innate ability and is influenced by a student's educational preparedness. 


FIRST-TIME STUDENT (UNDERGRADUATE) - A student attending any institution for the first time at the undergraduate level. Includes students enrolled in academic or occupational programs. Also includes students enrolled in the fall term who attended college for the first time in the prior summer term, and students who entered with advanced standing (college credits earned before graduation from high school). 

DEGREE/CERTIFICATE-SEEKING STUDENTS 
Students enrolled in courses for credit who are recognized by the institution as seeking a degree or formal award. At the undergraduate level, this is intended to include students enrolled in vocational or occupational programs.",double,N
4,XACTCM25,Imputation flag for ACTCM25,Synthetic dictionary row generated from imputationvar mapping.,string,
5,ACTCM50,ACT Composite 50th percentile score,"If test scores are required for admission for first-time, degree/certificate-seeking undergraduate students, please provide the following information: the number and percentage of students submitting SAT/ACT scores and the 25th, 50th and 75th percentile scores for each test. Provide data for the most recent group of students for which data are available; include new students admitted the summer prior to that fall. _x000D_
(This is applicable to institutions that have no open admission policy for entering first-time undergraduate students ). _x000D_
_x000D_
ACT Composite 50th percentile score _x000D_
_x000D_
ACT (AMERICAN COLLEGE TESTING PROGRAM) - The ACT assessment program measures educational development and readiness to pursue college-level coursework in English, mathematics, natural science, and social studies. Student performance does not reflect innate ability and is influenced by a student's educational preparedness. _x000D_
_x000D_
_x000D_
FIRST-TIME STUDENT (UNDERGRADUATE) - A student attending any institution for the first time at the undergraduate level. Includes students enrolled in academic or occupational programs. Also includes students enrolled in the fall term who attended college for the first time in the prior summer term, and students who entered with advanced standing (college credits earned before graduation from high school). _x000D_
_x000D_
DEGREE/CERTIFICATE-SEEKING STUDENTS _x000D_
Students enrolled in courses for credit who are recognized by the institution as seeking a degree or formal award. At the undergraduate level, this is intended to include students enrolled in vocational or occupational programs.",double,N
6,XACTCM50,Imputation flag for ACTCM50,Synthetic dictionary row generated from imputationvar mapping.,string,
7,ACTCM75,ACT Composite 75th percentile score,"If test scores are required for admission and 60 percent or more of your enrolled students (first-time, degree/certificate-seeking undergraduate students) submitted scores for a given test, please provide the following information: the number and percentage of students submitting SAT/ACT scores and the 25th and 75th percentile scores for each test. Provide data for the most recent group of students for which data are available; include new students admitted the summer prior to that fall. 
(This is applicable to institutions that have no open admission policy for entering first-time undergraduate students ). 

ACT Composite 75th percentile score 

ACT (AMERICAN COLLEGE TESTING PROGRAM) - The ACT assessment program measures educational development and readiness to pursue college-level coursework in English, mathematics, natural science, and social studies. Student performance does not reflect innate ability and is influenced by a student's educational preparedness. 


FIRST-TIME STUDENT (UNDERGRADUATE) - A student attending any institution for the first time at the undergraduate level. Includes students enrolled in academic or occupational programs. Also includes students enrolled in the fall term who attended college for the first time in the prior summer term, and students who entered with advanced standing (college credits earned before graduation from high school). 

DEGREE/CERTIFICATE-SEEKING STUDENTS 
Students enrolled in courses for credit who are recognized by the institution as seeking a degree or formal award. At the undergraduate level, this is intended to include students enrolled in vocational or occupational programs.",double,N
8,XACTCM75,Imputation flag for ACTCM75,Synthetic dictionary row generated from imputationvar mapping.,string,
9,ACTEN25,ACT English 25th percentile score,"If test scores are required for admission for first-time, degree/certificate-seeking undergraduate students, please provide the following information: the number and percentage of students submitting SAT/ACT scores and the 25th, 50th and 75th percentile scores for each test. Provide data for the most recent group of students for which data are available; include new students admitted the summer prior to that fall. _x000D_
(This is applicable to institutions that have no open admission policy for entering first-time undergraduate students ). _x000D_
_x000D_
ACT English 25th percentile score _x000D_
_x000D_
ACT (AMERICAN COLLEGE TESTING PROGRAM) - The ACT assessment program measures educational development and readiness to pursue college-level coursework in English, mathematics, natural science, and social studies. Student performance does not reflect innate ability and is influenced by a student's educational preparedness. _x000D_
_x000D_
_x000D_
FIRST-TIME STUDENT (UNDERGRADUATE) - A student attending any institution for the first time at the undergraduate level. Includes students enrolled in academic or occupational programs. Also includes students enrolled in the fall term who attended college for the first time in the prior summer term, and students who entered with advanced standing (college credits earned before graduation from high school). _x000D_
_x000D_
DEGREE/CERTIFICATE-SEEKING STUDENTS _x000D_
Students enrolled in courses for credit who are recognized by the institution as seeking a degree or formal award. At the undergraduate level, this is intended to include students enrolled in vocational or occupational programs.",double,N
10,XACTEN25,Imputation flag for ACTEN25,Synthetic dictionary row generated from imputationvar mapping.,string,
11,ACTEN50,ACT English 50th percentile score,"If test scores are required for admission for first-time, degree/certificate-seeking undergraduate students, please provide the following information: the number and percentage of students submitting SAT/ACT scores and the 25th, 50th and 75th percentile scores for each test. Provide data for the most recent group of students for which data are available; include new students admitted the summer prior to that fall. _x000D_
(This is applicable to institutions that have no open admission policy for entering first-time undergraduate students ). _x000D_
_x000D_
ACT English 50th percentile score _x000D_
_x000D_
ACT (AMERICAN COLLEGE TESTING PROGRAM) - The ACT assessment program measures educational development and readiness to pursue college-level coursework in English, mathematics, natural science, and social studies. Student performance does not reflect innate ability and is influenced by a student's educational preparedness. _x000D_
_x000D_
_x000D_
FIRST-TIME STUDENT (UNDERGRADUATE) - A student attending any institution for the first time at the undergraduate level. Includes students enrolled in academic or occupational programs. Also includes students enrolled in the fall term who attended college for the first time in the prior summer term, and students who entered with advanced standing (college credits earned before graduation from high school). _x000D_
_x000D_
DEGREE/CERTIFICATE-SEEKING STUDENTS _x000D_
Students enrolled in courses for credit who are recognized by the institution as seeking a degree or formal award. At the undergraduate level, this is intended to include students enrolled in vocational or occupational programs.",double,N
12,XACTEN50,Imputation flag for ACTEN50,Synthetic dictionary row generated from imputationvar mapping.,string,
13,ACTEN75,ACT English 75th percentile score,"If test scores are required for admission for first-time, degree/certificate-seeking undergraduate students, please provide the following information: the number and percentage of students submitting SAT/ACT scores and the 25th, 50th and 75th percentile scores for each test. Provide data for the most recent group of students for which data are available; include new students admitted the summer prior to that fall. _x000D_
(This is applicable to institutions that have no open admission policy for entering first-time undergraduate students ). _x000D_
_x000D_
ACT English 75th percentile score _x000D_
_x000D_
ACT (AMERICAN COLLEGE TESTING PROGRAM) - The ACT assessment program measures educational development and readiness to pursue college-level coursework in English, mathematics, natural science, and social studies. Student performance does not reflect innate ability and is influenced by a student's educational preparedness. _x000D_
_x000D_
_x000D_
FIRST-TIME STUDENT (UNDERGRADUATE) - A student attending any institution for the first time at the undergraduate level. Includes students enrolled in academic or occupational programs. Also includes students enrolled in the fall term who attended college for the first time in the prior summer term, and students who entered with advanced standing (college credits earned before graduation from high school). _x000D_
_x000D_
DEGREE/CERTIFICATE-SEEKING STUDENTS _x000D_
Students enrolled in courses for credit who are recognized by the institution as seeking a degree or formal award. At the undergraduate level, this is intended to include students enrolled in vocational or occupational programs.",double,N
14,XACTEN75,Imputation flag for ACTEN75,Synthetic dictionary row generated from imputationvar mapping.,string,
