source_var,source_label,table_name,data_filename,year,dict_file,dict_filename,filename,source_label_norm,source_var_norm,table_name_norm,prefix_hint,prefix_token,release,survey_hint,dict_row_sha256
EFRACE21,Hispanic total,<NA>,<NA>,2004,/Users/markjaysonfarol13/Higher Ed research/IPEDS/Cross sectional Datas/2004/EF2004CP_Dict/ef2004cp.xlsx,ef2004cp.xlsx,ef2004cp.xlsx,hispanic total,efrace21,<na>,EF,EF,,FallEnrollment,00031e433633f679711d020e30d489b2127f339e05305a447d4318fbaada5b15
EFRACE21,Hispanic total,<NA>,<NA>,2004,/Users/markjaysonfarol13/Higher Ed research/IPEDS/Cross sectional Datas/2004/EF2004A_Dict/ef2004a.xlsx,ef2004a.xlsx,ef2004a.xlsx,hispanic total,efrace21,<na>,EF,EF,,FallEnrollment,00031e433633f679711d020e30d489b2127f339e05305a447d4318fbaada5b15
FORMID,Form ID is a numeric indicator,<NA>,<NA>,2004,/Users/markjaysonfarol13/Higher Ed research/IPEDS/Cross sectional Datas/2004/F0304_F1A_G_Dict/f0304_f1a_g.xlsx,f0304_f1a_g.xlsx,f0304_f1a_g.xlsx,form id is a numeric indicator,formid,<na>,F,F,,F,0350afa764ebd37d13bd22de0e3126a551cfd2b93f8c0b388800c75b91a72914
FORMID,Form ID is a numeric indicator,<NA>,<NA>,2004,/Users/markjaysonfarol13/Higher Ed research/IPEDS/Cross sectional Datas/2004/F0304_F1A_F_Dict/f0304_f1a_f.xlsx,f0304_f1a_f.xlsx,f0304_f1a_f.xlsx,form id is a numeric indicator,formid,<na>,F,F,,F,0350afa764ebd37d13bd22de0e3126a551cfd2b93f8c0b388800c75b91a72914
EFRACE10,Hispanic women,<NA>,<NA>,2004,/Users/markjaysonfarol13/Higher Ed research/IPEDS/Cross sectional Datas/2004/EF2004CP_Dict/ef2004cp.xlsx,ef2004cp.xlsx,ef2004cp.xlsx,hispanic women,efrace10,<na>,EF,EF,,FallEnrollment,041be9bf1e656c507ebfd3d16706a4a5eb3673852523b0631cbb1a2a740ca644
EFRACE10,Hispanic women,<NA>,<NA>,2004,/Users/markjaysonfarol13/Higher Ed research/IPEDS/Cross sectional Datas/2004/EF2004A_Dict/ef2004a.xlsx,ef2004a.xlsx,ef2004a.xlsx,hispanic women,efrace10,<na>,EF,EF,,FallEnrollment,041be9bf1e656c507ebfd3d16706a4a5eb3673852523b0631cbb1a2a740ca644
STAFF01,Nonresident alien men,<NA>,<NA>,2004,/Users/markjaysonfarol13/Higher Ed research/IPEDS/Cross sectional Datas/2004/S2004_F_Dict/s2004_f.xlsx,s2004_f.xlsx,s2004_f.xlsx,nonresident alien men,staff01,<na>,S,S,,F,0930e38632389552068c8b72eee41b8d42a8fdc27aa71a6b20c77775045268de
STAFF01,Nonresident alien men,<NA>,<NA>,2004,/Users/markjaysonfarol13/Higher Ed research/IPEDS/Cross sectional Datas/2004/S2004_ABD_Dict/s2004_abd.xlsx,s2004_abd.xlsx,s2004_abd.xlsx,nonresident alien men,staff01,<na>,S,S,,S,0930e38632389552068c8b72eee41b8d42a8fdc27aa71a6b20c77775045268de
STAFF01,Nonresident alien men,<NA>,<NA>,2004,/Users/markjaysonfarol13/Higher Ed research/IPEDS/Cross sectional Datas/2004/S2004_CN_Dict/s2004_cn.xlsx,s2004_cn.xlsx,s2004_cn.xlsx,nonresident alien men,staff01,<na>,S,S,,S,0930e38632389552068c8b72eee41b8d42a8fdc27aa71a6b20c77775045268de
STAFF01,Nonresident alien men,<NA>,<NA>,2004,/Users/markjaysonfarol13/Higher Ed research/IPEDS/Cross sectional Datas/2004/S2004_G_Dict/s2004_g.xlsx,s2004_g.xlsx,s2004_g.xlsx,nonresident alien men,staff01,<na>,S,S,,S,0930e38632389552068c8b72eee41b8d42a8fdc27aa71a6b20c77775045268de
